# type (r;w;u;1-9),class,name,comment,QQ,ZZ,PBSB,ID,field1,part (m;s),type / templates,divider / values,unit,comment
r,cha,warmwassertemperatur,Warmwassertemperatur,,08,5022,CC0E00,warmwassertemperatur,,SIN,10,°C,Warmwassertemperatur
r,cha,warmwassersolltemperatur,Warmwassersolltemperatur,,08,5022,CC1300,warmwassersolltemperatur,,SIN,10,°C,Warmwassersolltemperatur
r,cha,zulufttemperatur,Zulufttemperatur,,08,5022,CC5530,zulufttemperatur,,SIN,10,°C,Zulufttemperatur
r,cha,ablufttemperatur,Ablufttemperatur,,08,5022,CC1333,ablufttemperatur,,SIN,10,°C,Ablufttemperatur
r,cha,sauggastemperatur,Sauggastemperatur,,08,5022,CC1133,sauggastemperatur,,SIN,10,°C,Sauggastemperatur
r,cha,heissgastemperatur,Heißgastemperatur,,08,5022,CC5730,heissgastemperatur,,SIN,10,°C,Heißgastemperatur
r,cha,p_heissgas,P_Heißgas,,08,5022,CC0E33,p_heissgas,,SIN,10,bar,P_Heißgas
r,cha,p_sauggas,P_Sauggas,,08,5022,CC0F33,p_sauggas,,SIN,10,bar,P_Sauggas
r,cha,eev_hz,EEV HZ,,08,5022,CC1433,eev_hz,,UIN,,,EEV HZ
r,cha,eev_k,EEV K,,08,5022,CC1533,eev_k,,UIN,,,EEV K
r,cha,heizkreisdurchfluss,Heizkreisdurchfluss,,08,5022,CCD917,heizkreisdurchfluss,,SIN,10,l/min,Heizkreisdurchfluss
r,cha,anlagendruck,Anlagendruck,,08,5022,CC1A27,anlagendruck,,SIN,100,bar,Anlagendruck
r,cha,heizkreispumpe,Heizkreispumpe,,08,5022,CC7930,heizkreispumpe,,BI0:1,0X00=Aus;0X01=Ein,,Heizkreispumpe
r,cha,aktuelle_leistungsvorgabe_verdichter,Aktuelle Leistungsvorgabe Verdichter,,08,5022,CC6F01,aktuelle_leistungsvorgabe_verdichter,,UIN,,%,Aktuelle Leistungsvorgabe Verdichter
r,cha,verdichterfrequenz,Verdichterfrequenz,,08,5022,CC6130,verdichterfrequenz,,UIN,,Hz,Verdichterfrequenz
r,cha,drehzahl_ventilator,Drehzahl Ventilator,,08,5022,CC5F30,drehzahl_ventilator,,UIN,,U/min,Drehzahl Ventilator
r,cha,status_nachtbetrieb,Status Nachtbetrieb,,08,5022,CC792A,status_nachtbetrieb,,UIN,0x00=Aus;0x01=Ein,,Status Nachtbetrieb
r,cha,status_tpw,Status TPW,,08,5022,CC0633,status_tpw,,UIN,0xfe40=Geöffnet;0x7d0=Geschlossen,,Status TPW
r,cha,status_sg,Status SG,,08,5022,CC302A,status_sg,,UIN,0x00=Aus;0x01=Normalbetrieb;0x02=EVU-Sperre;0x03=Einschaltempfehlung;0x04=Einschaltbefehl,,Status SG
r,cha,status_pv,Status PV,,08,5022,CC3F2A,status_pv,,UIN,0x00=Aus;0x01=Normalbetrieb;0x02=EVU-Sperre;0x03=Einschaltempfehlung;0x04=PV-Anhebung aktiv,,Status PV
r,cha,eingang_e1,Eingang E1,,08,5022,CC1627,eingang_e1,,UIN,0xfe40=Geöffnet;0x7d0=Geschlossen,,Eingang E1
r,cha,eingang_e3,Eingang E3,,08,5022,CC0433,eingang_e3,,UIN,0xfe40=Geöffnet;0x7d0=Geschlossen,,Eingang E3
r,cha,eingang_e4,Eingang E4,,08,5022,CC0533,eingang_e4,,UIN,0xfe40=Geöffnet;0x7d0=Geschlossen,,Eingang E4
r,cha,leistungsaufnahme_wp_ehz,Leistungsaufnahme (WP + EHZ),,08,5022,CC6530,leistungsaufnahme_wp_ehz,,SIN,10,kW,Leistungsaufnahme (WP + EHZ)
r,cha,aktuelle_sekundaerleistung,Aktuelle Sekundärleistung,,08,5022,CC6E30,aktuelle_sekundaerleistung,,SIN,10,kW,Aktuelle Sekundärleistung
r,cha,heizleistung,Heizleistung,,08,5022,CC5C30,heizleistung,,SIN,10,kW,Heizleistung
r,cha,kuehlleistung,Kühlleistung,,08,5022,CC5B30,kuehlleistung,,SIN,10,kW,Kühlleistung
r,cha,energiemenge_hz,Energiemenge HZ,,08,5022,CC6F30;CC7030,energiemenge_hz,,ULG,,kWh,Energiemenge HZ
r,cha,energiemenge_ww,Energiemenge WW,,08,5022,CC7A30;CC7B30,energiemenge_ww,,ULG,,kWh,Energiemenge WW
r,cha,energiemenge_kuehl,Energiemenge Kühl.,,08,5022,CC7C30;CC7D30,energiemenge_kuehl,,ULG,,kWh,Energiemenge Kühl.
r,cha,netzbetriebsstunden,Netzbetriebsstunden,,08,5022,CC2802;CC2902,netzbetriebsstunden,,ULG,,Std,Netzbetriebsstunden
r,cha,betriebsstunden_verdichter,Betriebsstunden Verdichter,,08,5022,CC2A02,betriebsstunden_verdichter,,UIN,,Std,Betriebsstunden Verdichter
r,cha,betriebsstunden_e_heizung,Betriebsstunden E-Heizung,,08,5022,CC3E2A,betriebsstunden_e_heizung,,UIN,,Std,Betriebsstunden E-Heizung
r,cha,anzahl_netz_ein,Anzahl Netz Ein,,08,5022,CC5E27,anzahl_netz_ein,,UIN,,,Anzahl Netz Ein
r,cha,verdichterstarts,Verdichterstarts,,08,5022,CC2602;CC2702,verdichterstarts,,ULG,,,Verdichterstarts
r,cha,hcm_4_firmware,HCM-4 Firmware,,08,5022,CC9A01,hcm_4_firmware,,SIN,100,,HCM-4 Firmware
r,cha,hpm_2_firmware,HPM-2 Firmware,,08,5022,CC1833,hpm_2_firmware,,SIN,100,,HPM-2 Firmware
r,cha,korrektur_t_kessel,Korrektur T_Kessel,,08,5022,CC6C30,korrektur_t_kessel,,SIN,100,°C,Korrektur T_Kessel
r,cha,korrektur_t_kessel_2,Korrektur T_Kessel_2,,08,5022,CC0133,korrektur_t_kessel_2,,SIN,100,°C,Korrektur T_Kessel_2
r,cha,korrektur_t_ruecklauf,Korrektur T_Rücklauf,,08,5022,CC6D30,korrektur_t_ruecklauf,,SIN,100,°C,Korrektur T_Rücklauf
r,cha,herstellwoche,Herstellwoche,,08,5022,CC7D2A,herstellwoche,,UIN,,,Herstellwoche
r,cha,herstelljahr,Herstelljahr,,08,5022,CC7E2A,herstelljahr,,UIN,,,Herstelljahr
r,cha,seriennummer,Seriennummer,,08,5022,CC802A;CC7F2A,seriennummer,,ULG,,,Seriennummer
r,cha,verbrauch_aktueller_tag,Verbrauch aktueller Tag,,08,5022,CC812A,verbrauch_aktueller_tag,,UIN,,kWh,Verbrauch aktueller Tag
r,cha,erzeugte_waermemenge_aktueller_tag,Erzeugte Wärmemenge aktueller Tag,,08,5022,CC822A,erzeugte_waermemenge_aktueller_tag,,UIN,,kWh,Erzeugte Wärmemenge aktueller Tag
r,cha,taz_aktueller_tag,TAZ aktueller Tag,,08,5022,CC2F33,taz_aktueller_tag,,SIN,10,,TAZ aktueller Tag
r,cha,energie_vt_el,Energie VT (el.),,08,5022,CCF832,energie_vt_el,,UIN,,kWh,Energie VT (el.)
r,cha,energie_vt_th,Energie VT (th.),,08,5022,CCF932,energie_vt_th,,UIN,,kWh,Energie VT (th.)
r,cha,energie_vt_taz,Energie VT (TAZ),,08,5022,CCFA32,energie_vt_taz,,SIN,10,,Energie VT (TAZ)
r,cha,verbrauch_aktueller_monat,Verbrauch aktueller Monat,,08,5022,CC832A,verbrauch_aktueller_monat,,UIN,,kWh,Verbrauch aktueller Monat
r,cha,erzeugte_waermemenge_aktueller_monat,Erzeugte Wärmemenge aktueller Monat,,08,5022,CC842A,erzeugte_waermemenge_aktueller_monat,,UIN,,kWh,Erzeugte Wärmemenge aktueller Monat
r,cha,maz_aktueller_monat,MAZ aktueller Monat,,08,5022,CC3033,maz_aktueller_monat,,SIN,10,,MAZ aktueller Monat
r,cha,energie_hp_el,Energie HP (el.),,08,5022,CCFB32,energie_hp_el,,UIN,,kWh,Energie HP (el.)
r,cha,energie_hp_th,Energie HP (th.),,08,5022,CCFC32,energie_hp_th,,UIN,,kWh,Energie HP (th.)
r,cha,energie_hp_jaz,Energie HP (JAZ),,08,5022,CCFD32,energie_hp_jaz,,SIN,10,,Energie HP (JAZ)
r,cha,verbrauch_aktuelles_jahr,Verbrauch aktuelles Jahr,,08,5022,CC852A;CC862A,verbrauch_aktuelles_jahr,,ULG,,kWh,Verbrauch aktuelles Jahr
r,cha,erzeugte_waermemenge_aktuelles_jahr,Erzeugte Wärmemenge aktuelles Jahr,,08,5022,CC8B2A;CC8C2A,erzeugte_waermemenge_aktuelles_jahr,,ULG,,kWh,Erzeugte Wärmemenge aktuelles Jahr
r,cha,energie_vj_el,Energie VJ (el.),,08,5022,CCFE32,energie_vj_el,,UIN,,kWh,Energie VJ (el.)
r,cha,energie_vj_th,Energie VJ (th.),,08,5022,CCFF32,energie_vj_th,,UIN,,kWh,Energie VJ (th.)
r,cha,energie_vj_jaz,Energie VJ (JAZ),,08,5022,CC0033,energie_vj_jaz,,SIN,10,,Energie VJ (JAZ)
r,cha,verbrauch_vorjahr,Verbrauch Vorjahr,,08,5022,CC8D2A;CC8E2A,verbrauch_vorjahr,,ULG,,kWh,Verbrauch Vorjahr
r,cha,erzeugte_waermemenge_vorjahr,Erzeugte Wärmemenge Vorjahr,,08,5022,CC8F2A;CC902A,erzeugte_waermemenge_vorjahr,,ULG,,kWh,Erzeugte Wärmemenge Vorjahr
r,cha,verbrauch_vorvorjahr,Verbrauch Vorvorjahr,,08,5022,CC912A;CC922A,verbrauch_vorvorjahr,,ULG,,kWh,Verbrauch Vorvorjahr
r,cha,erzeugte_waermemenge_vorvorjahr,Erzeugte Wärmemenge Vorvorjahr,,08,5022,CC932A;CC942A,erzeugte_waermemenge_vorvorjahr,,ULG,,kWh,Erzeugte Wärmemenge Vorvorjahr
r,cha,jaz_vorvorjahr,JAZ Vorvorjahr,,08,5022,CC3133,jaz_vorvorjahr,,SIN,10,,JAZ Vorvorjahr
r,cha,warmwasser_betriebsart,Warmwasser Betriebsart,,08,5022,CC1733,warmwasser_betriebsart,,UIN,0x00=Effizient;0x01=Schnell,,Warmwasser Betriebsart
r,cha,betriebsart_verdichter,Betriebsart Verdichter,,08,5022,CC1633,betriebsart_verdichter,,UIN,0x00=Leistungsoptimiert;0x01=Schalloptimiert,,Betriebsart Verdichter
r,cha,anlagenkonfiguration,(WP001) Anlagenkonfiguration,,08,5022,CCC832,anlagenkonfiguration,,UIN,0x00=Konfiguration 1;0x01=Konfiguration 2;0x02=Konfiguration 11;0x03=Konfiguration 12;0x04=Konfiguration 51;0x05=Konfiguration 52,,(WP001) Anlagenkonfiguration
w,cha,anlagenkonfiguration,(WP001) Anlagenkonfiguration,,08,5023,00C832,anlagenkonfiguration,,UIN,0x00=Konfiguration 1;0x01=Konfiguration 2;0x02=Konfiguration 11;0x03=Konfiguration 12;0x04=Konfiguration 51;0x05=Konfiguration 52,,(WP001) Anlagenkonfiguration
r,cha,funktion_eingang_e1,(WP002) Funktion Eingang E1,,08,5022,CCC932,funktion_eingang_e1,,UIN,0x00=Keine Funktion;0x01=RT;0x02=WW;0x03=RT / WW;0x04=Zirkomat;0x05=MaxTh;0x06=KühlTh;0x07=SAF Kühlen;0x08=PV;0x09=Ext. Störung;0x0a=Pool,,(WP002) Funktion Eingang E1
w,cha,funktion_eingang_e1,(WP002) Funktion Eingang E1,,08,5023,00C932,funktion_eingang_e1,,UIN,0x00=Keine Funktion;0x01=RT;0x02=WW;0x03=RT / WW;0x04=Zirkomat;0x05=MaxTh;0x06=KühlTh;0x07=SAF Kühlen;0x08=PV;0x09=Ext. Störung;0x0a=Pool,,(WP002) Funktion Eingang E1
r,cha,funktion_ausgang_a1,(WP003) Funktion Ausgang A1,,08,5022,CCCA32,funktion_ausgang_a1,,UIN,0x00=Keine Funktion;0x01=Zirkulationspumpe 20%;0x02=Zirkulationspumpe 50%;0x03=Zirkulationspumpe 100%;0x04=Alarmausgang;0x05=Zirkomat;0x06=Abtauen;0x07=ZWE;0x08=Verdichter EIN;0x09=EHZ Ein;0x0a=ZUP extern;0x0b=Kühlung ein;0x0c=Pool,,(WP003) Funktion Ausgang A1
w,cha,funktion_ausgang_a1,(WP003) Funktion Ausgang A1,,08,5023,00CA32,funktion_ausgang_a1,,UIN,0x00=Keine Funktion;0x01=Zirkulationspumpe 20%;0x02=Zirkulationspumpe 50%;0x03=Zirkulationspumpe 100%;0x04=Alarmausgang;0x05=Zirkomat;0x06=Abtauen;0x07=ZWE;0x08=Verdichter EIN;0x09=EHZ Ein;0x0a=ZUP extern;0x0b=Kühlung ein;0x0c=Pool,,(WP003) Funktion Ausgang A1
r,cha,funktion_eingang_e3,(WP005) Funktion Eingang E3,,08,5022,CCCB32,funktion_eingang_e3,,UIN,0x00=Keine Funktion;0x01=RT;0x02=WW;0x03=RT / WW;0x04=Zirkomat;0x05=MaxTh;0x06=KühlTh;0x07=SAF Kühlen;0x08=PV;0x09=Ext. Störung;0x0a=Pool,,(WP005) Funktion Eingang E3
w,cha,funktion_eingang_e3,(WP005) Funktion Eingang E3,,08,5023,00CB32,funktion_eingang_e3,,UIN,0x00=Keine Funktion;0x01=RT;0x02=WW;0x03=RT / WW;0x04=Zirkomat;0x05=MaxTh;0x06=KühlTh;0x07=SAF Kühlen;0x08=PV;0x09=Ext. Störung;0x0a=Pool,,(WP005) Funktion Eingang E3
r,cha,funktion_ausgang_a3,(WP006) Funktion Ausgang A3,,08,5022,CCCC32,funktion_ausgang_a3,,UIN,0x00=Keine Funktion;0x01=Zirkulationspumpe 20%;0x02=Zirkulationspumpe 50%;0x03=Zirkulationspumpe 100%;0x04=Alarmausgang;0x05=Zirkomat;0x06=Abtauen;0x07=ZWE;0x08=Verdichter EIN;0x09=EHZ Ein;0x0a=ZUP extern;0x0b=Kühlung ein;0x0c=Pool,,(WP006) Funktion Ausgang A3
w,cha,funktion_ausgang_a3,(WP006) Funktion Ausgang A3,,08,5023,000032,funktion_ausgang_a3,,UIN,0x00=Keine Funktion;0x01=Zirkulationspumpe 20%;0x02=Zirkulationspumpe 50%;0x03=Zirkulationspumpe 100%;0x04=Alarmausgang;0x05=Zirkomat;0x06=Abtauen;0x07=ZWE;0x08=Verdichter EIN;0x09=EHZ Ein;0x0a=ZUP extern;0x0b=Kühlung ein;0x0c=Pool,,(WP006) Funktion Ausgang A3
r,cha,funktion_eingang_e4,(WP007) Funktion Eingang E4,,08,5022,CCCD32,funktion_eingang_e4,,UIN,0x00=Keine Funktion;0x01=RT;0x02=WW;0x03=RT / WW;0x04=Zirkomat;0x05=MaxTh;0x06=KühlTh;0x07=SAF Kühlen;0x08=PV;0x09=Ext. Störung;0x0a=Pool,,(WP007) Funktion Eingang E4
w,cha,funktion_eingang_e4,(WP007) Funktion Eingang E4,,08,5023,00CD32,funktion_eingang_e4,,UIN,0x00=Keine Funktion;0x01=RT;0x02=WW;0x03=RT / WW;0x04=Zirkomat;0x05=MaxTh;0x06=KühlTh;0x07=SAF Kühlen;0x08=PV;0x09=Ext. Störung;0x0a=Pool,,(WP007) Funktion Eingang E4
r,cha,funktion_ausgang_a4,(WP008) Funktion Ausgang A4,,08,5022,CCCE32,funktion_ausgang_a4,,UIN,0x00=Keine Funktion;0x01=Zirkulationspumpe 20%;0x02=Zirkulationspumpe 50%;0x03=Zirkulationspumpe 100%;0x04=Alarmausgang;0x05=Zirkomat;0x06=Abtauen;0x07=ZWE;0x08=Verdichter EIN;0x09=EHZ Ein;0x0a=ZUP extern;0x0b=Kühlung ein;0x0c=Pool,,(WP008) Funktion Ausgang A4
w,cha,funktion_ausgang_a4,(WP008) Funktion Ausgang A4,,08,5023,00CE32,funktion_ausgang_a4,,UIN,0x00=Keine Funktion;0x01=Zirkulationspumpe 20%;0x02=Zirkulationspumpe 50%;0x03=Zirkulationspumpe 100%;0x04=Alarmausgang;0x05=Zirkomat;0x06=Abtauen;0x07=ZWE;0x08=Verdichter EIN;0x09=EHZ Ein;0x0a=ZUP extern;0x0b=Kühlung ein;0x0c=Pool,,(WP008) Funktion Ausgang A4
r,cha,temperaturueberhoehung_sammler,(WP009) Temperaturüberhöhung Sammler,,08,5022,CCCF32,temperaturueberhoehung_sammler,,SIN,10,K,(WP009) Temperaturüberhöhung Sammler
w,cha,temperaturueberhoehung_sammler,(WP009) Temperaturüberhöhung Sammler,,08,5023,00CF32,temperaturueberhoehung_sammler,,SIN,10,K,(WP009) Temperaturüberhöhung Sammler
r,cha,soll_spreizung,(WP010) Soll-Spreizung,,08,5022,CCE92E,soll_spreizung,,SIN,10,K,(WP010) Soll-Spreizung
w,cha,soll_spreizung,(WP010) Soll-Spreizung,,08,5023,00E92E,soll_spreizung,,SIN,10,K,(WP010) Soll-Spreizung
r,cha,hysterese_heizbetrieb,(WP011) Hysterese Heizbetrieb,,08,5022,CCD032,hysterese_heizbetrieb,,SIN,10,K,(WP011) Hysterese Heizbetrieb
w,cha,hysterese_heizbetrieb,(WP011) Hysterese Heizbetrieb,,08,5023,00D032,hysterese_heizbetrieb,,SIN,10,K,(WP011) Hysterese Heizbetrieb
r,cha,drehzahl_zhp,Drehzahl ZHP,,8,5022,CC5727,drehzahl_zhp,,UIN,,%,Drehzahl ZHP
r,cha,nachlauf_zhp,(WP012) Nachlauf ZHP,,08,5022,CCD132,nachlauf_zhp,,UIN,,min,(WP012) Nachlauf ZHP
w,cha,nachlauf_zhp,(WP012) Nachlauf ZHP,,08,5023,00D132,nachlauf_zhp,,UIN,,min,(WP012) Nachlauf ZHP
r,cha,verzoegerung_zwe_heizung,(WP013) Verzögerung ZWE Heizung,,08,5022,CCEC2E,verzoegerung_zwe_heizung,,UIN,,min,(WP013) Verzögerung ZWE Heizung
w,cha,verzoegerung_zwe_heizung,(WP013) Verzögerung ZWE Heizung,,08,5023,00EC2E,verzoegerung_zwe_heizung,,UIN,,min,(WP013) Verzögerung ZWE Heizung
r,cha,nachlauf_hkp,(WP014) Nachlauf HKP,,08,5022,CCD232,nachlauf_hkp,,UIN,,min,(WP014) Nachlauf HKP
w,cha,nachlauf_hkp,(WP014) Nachlauf HKP,,08,5023,00D232,nachlauf_hkp,,UIN,,min,(WP014) Nachlauf HKP
r,cha,pumpenleistung_hk_maximal,(WP015) Pumpenleistung HK maximal,,08,5022,CCEE2E,pumpenleistung_hk_maximal,,UIN,,%,(WP015) Pumpenleistung HK maximal
w,cha,pumpenleistung_hk_maximal,(WP015) Pumpenleistung HK maximal,,08,5023,00EE2E,pumpenleistung_hk_maximal,,UIN,,%,(WP015) Pumpenleistung HK maximal
r,cha,freigabe_spreizungsregelung,(WP016) Freigabe Spreizungsregelung,,08,5022,CCEF2E,freigabe_spreizungsregelung,,UIN,0x00=Aus;0x01=Ein,,(WP016) Freigabe Spreizungsregelung
w,cha,freigabe_spreizungsregelung,(WP016) Freigabe Spreizungsregelung,,08,5023,00EF2E,freigabe_spreizungsregelung,,UIN,0x00=Aus;0x01=Ein,,(WP016) Freigabe Spreizungsregelung
r,cha,kesselmaximaltemp_hz_tv_max,(WP017) Kesselmaximaltemp HZ TV-max,,08,5022,CCD332,kesselmaximaltemp_hz_tv_max,,SIN,10,°C,(WP017) Kesselmaximaltemp HZ TV-max
w,cha,kesselmaximaltemp_hz_tv_max,(WP017) Kesselmaximaltemp HZ TV-max,,08,5023,00D332,kesselmaximaltemp_hz_tv_max,,SIN,10,°C,(WP017) Kesselmaximaltemp HZ TV-max
r,cha,kesselminimaltemp_tk_min,(WP018) Kesselminimaltemp TK-min,,08,5022,CCF12E,kesselminimaltemp_tk_min,,SIN,10,°C,(WP018) Kesselminimaltemp TK-min
w,cha,kesselminimaltemp_tk_min,(WP018) Kesselminimaltemp TK-min,,08,5023,00F12E,kesselminimaltemp_tk_min,,SIN,10,°C,(WP018) Kesselminimaltemp TK-min
r,cha,pumpenleistung_hk_minimal,(WP019) Pumpenleistung HK minimal,,08,5022,CCD432,pumpenleistung_hk_minimal,,UIN,,%,(WP019) Pumpenleistung HK minimal
w,cha,pumpenleistung_hk_minimal,(WP019) Pumpenleistung HK minimal,,08,5023,00D432,pumpenleistung_hk_minimal,,UIN,,%,(WP019) Pumpenleistung HK minimal
r,cha,hysterese_warmwasserbetrieb,(WP020) Hysterese Warmwasserbetrieb,,08,5022,CCD532,hysterese_warmwasserbetrieb,,SIN,10,°C,(WP020) Hysterese Warmwasserbetrieb
w,cha,hysterese_warmwasserbetrieb,(WP020) Hysterese Warmwasserbetrieb,,08,5023,00D532,hysterese_warmwasserbetrieb,,SIN,10,°C,(WP020) Hysterese Warmwasserbetrieb
r,cha,freigabe_max_zeit_warmwasserbetrieb,(WP021) Freigabe max. Zeit Warmwasserbetrieb,,08,5022,CCF42E,freigabe_max_zeit_warmwasserbetrieb,,UIN,0x00=Aus;0x01=Ein,,(WP021) Freigabe max. Zeit Warmwasserbetrieb
w,cha,freigabe_max_zeit_warmwasserbetrieb,(WP021) Freigabe max. Zeit Warmwasserbetrieb,,08,5023,00F42E,freigabe_max_zeit_warmwasserbetrieb,,UIN,0x00=Aus;0x01=Ein,,(WP021) Freigabe max. Zeit Warmwasserbetrieb
r,cha,max_zeit_warmwasserbetrieb,(WP022) Max. Zeit Warmwasserbetrieb,,08,5022,CC8001,max_zeit_warmwasserbetrieb,,UIN,,min,(WP022) Max. Zeit Warmwasserbetrieb
w,cha,max_zeit_warmwasserbetrieb,(WP022) Max. Zeit Warmwasserbetrieb,,08,5023,008001,max_zeit_warmwasserbetrieb,,UIN,,min,(WP022) Max. Zeit Warmwasserbetrieb
r,cha,verz_zwe_warmwasserbetrieb,(WP023) Verz. ZWE Warmwasserbetrieb,,08,5022,CCF62E,verz_zwe_warmwasserbetrieb,,UIN,,min,(WP023) Verz. ZWE Warmwasserbetrieb
w,cha,verz_zwe_warmwasserbetrieb,(WP023) Verz. ZWE Warmwasserbetrieb,,08,5023,00F62E,verz_zwe_warmwasserbetrieb,,UIN,,min,(WP023) Verz. ZWE Warmwasserbetrieb
r,cha,sg_pv,(WP025) SG/PV,,08,5022,CCD832,sg_pv,,UIN,0x00=PV;0x01=SG,,(WP025) SG/PV
w,cha,sg_pv,(WP025) SG/PV,,08,5023,00D832,sg_pv,,UIN,0x00=PV;0x01=SG,,(WP025) SG/PV
r,cha,externe_anhebung_hz,(WP026) Externe Anhebung HZ,,08,5022,CCD932,externe_anhebung_hz,,SIN,10,°C,(WP026) Externe Anhebung HZ
w,cha,externe_anhebung_hz,(WP026) Externe Anhebung HZ,,08,5023,00D932,externe_anhebung_hz,,SIN,10,°C,(WP026) Externe Anhebung HZ
r,cha,externe_anhebung_ww,(WP027) Externe Anhebung WW,,08,5022,CCDA32,externe_anhebung_ww,,SIN,10,°C,(WP027) Externe Anhebung WW
w,cha,externe_anhebung_ww,(WP027) Externe Anhebung WW,,08,5023,00DA32,externe_anhebung_ww,,SIN,10,°C,(WP027) Externe Anhebung WW
r,cha,wez_management_bei_sg_pv,(WP028) WEZ-Management bei SG/PV,,08,5022,CCDB32,wez_management_bei_sg_pv,,UIN,0x00=Standard;0x01=WP;0x02=EHZ;0x03=WP + EHZ parallel,,(WP028) WEZ-Management bei SG/PV
w,cha,wez_management_bei_sg_pv,(WP028) WEZ-Management bei SG/PV,,08,5023,00DB32,wez_management_bei_sg_pv,,UIN,0x00=Standard;0x01=WP;0x02=EHZ;0x03=WP + EHZ parallel,,(WP028) WEZ-Management bei SG/PV
r,cha,busadresse,(WP031) Busadresse,,08,5022,CCFE2E,busadresse,,UIN,,,(WP031) Busadresse
w,cha,busadresse,(WP031) Busadresse,,08,5023,00FE2E,busadresse,,UIN,,,(WP031) Busadresse
r,cha,auswirkung_sg_pv_auf_heizbetrieb,(WP032) Auswirkung SG/PV auf Heizbetrieb,,08,5022,CCFF2E,auswirkung_sg_pv_auf_heizbetrieb,,UIN,0x00=Aus;0x01=Ein,,(WP032) Auswirkung SG/PV auf Heizbetrieb
w,cha,auswirkung_sg_pv_auf_heizbetrieb,(WP032) Auswirkung SG/PV auf Heizbetrieb,,08,5023,00FF2E,auswirkung_sg_pv_auf_heizbetrieb,,UIN,0x00=Aus;0x01=Ein,,(WP032) Auswirkung SG/PV auf Heizbetrieb
r,cha,auswirkung_sg_pv_auf_kuehlbetrieb,(WP033) Auswirkung SG/PV auf Kühlbetrieb,,08,5022,CC002F,auswirkung_sg_pv_auf_kuehlbetrieb,,UIN,0x00=Aus;0x01=Ein,,(WP033) Auswirkung SG/PV auf Kühlbetrieb
